age,job,marital,education,default,housing,loan,contact,trimestre,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
53,admin.,0,4,1,0,0,0,1,0,287,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,1,3,0,0,0,0,1,0,197,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,others,0,1,0,0,0,0,1,0,257,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,0,0,0,1,0,0,1,0,229,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,others,0,1,0,0,0,0,1,0,55,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,0,0,0,0,0,0,1,0,400,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,admin.,0,4,0,0,0,0,1,0,197,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,admin.,0,4,0,0,0,0,1,0,190,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,1,2,1,0,0,0,1,0,21,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,0,1,0,1,0,0,1,0,300,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,0,2,0,1,0,0,1,0,123,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,0,1,1,0,0,1,0,293,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,0,0,1,1,1,0,1,0,325,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
60,retired,0,4,1,0,0,0,1,0,514,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
58,others,0,1,1,0,0,0,1,0,849,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,others,0,2,0,1,0,0,1,0,194,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,1,1,1,0,0,1,0,212,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,0,4,0,0,0,0,1,0,337,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,0,2,0,0,0,0,1,0,286,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,admin.,0,4,0,0,0,0,1,0,247,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,others,0,0,1,1,0,0,1,0,518,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,admin.,0,0,0,1,0,0,1,0,364,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
48,others,0,1,1,1,0,0,1,0,178,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,2,1,1,0,0,1,0,98,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,others,0,2,0,0,0,0,1,0,439,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,2,0,0,0,0,1,0,139,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,2,0,1,0,0,1,0,79,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
32,admin.,0,4,0,1,1,0,1,0,175,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,admin.,0,4,0,0,1,0,1,0,262,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,admin.,0,1,0,0,0,0,1,0,61,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
31,others,0,3,0,1,1,0,1,0,78,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,retired,0,1,0,1,0,0,1,0,102,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,3,1,1,0,0,1,0,579,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,1
37,others,0,1,0,1,1,0,1,0,143,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,3,1,0,0,0,1,0,677,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,others,0,0,0,1,0,0,1,0,267,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,0,1,0,1,0,0,1,0,345,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,others,0,4,0,0,0,0,1,0,185,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,4,0,0,0,0,1,0,207,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,1,1,0,0,0,1,0,69,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,1,1,0,0,0,1,0,100,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,0,2,0,1,0,0,1,0,125,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,1,1,1,0,0,1,0,461,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,1
43,others,1,4,0,1,0,0,1,0,240,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,0,0,1,0,0,1,0,70,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,4,0,1,0,0,1,0,193,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
53,others,0,1,0,1,0,0,1,0,136,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,others,0,2,1,1,0,0,1,0,73,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,1,1,0,0,1,0,528,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,1,0,0,0,1,0,541,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,1,2,0,1,0,0,1,0,338,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,admin.,0,4,1,1,0,0,1,0,163,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,1,0,1,0,0,1,0,87,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
60,others,0,1,1,0,0,0,1,0,301,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,0,1,1,0,0,1,0,46,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,2,1,1,0,0,1,0,52,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,0,1,0,0,0,1,0,204,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,0,0,1,1,0,1,0,155,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,0,1,0,1,1,0,1,0,98,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,0,1,1,0,0,1,0,71,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,0,1,0,0,0,1,0,243,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,1,3,0,1,0,0,1,0,186,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,others,0,2,0,0,0,0,1,0,579,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
24,others,1,4,0,1,0,0,1,0,165,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,1,1,1,1,1,0,1,0,163,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,1,1,0,0,0,1,0,46,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,1,0,0,0,1,0,559,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,2,1,0,0,0,1,0,2033,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,0,1,0,0,0,0,1,0,85,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,others,0,2,0,1,1,0,1,0,506,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,admin.,0,0,1,0,0,0,1,0,114,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,0,0,0,0,0,1,0,114,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,0,4,0,1,0,0,1,0,843,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,0,2,1,0,1,0,1,0,181,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,0,2,1,0,0,0,1,0,427,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,4,0,1,1,0,1,0,292,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,admin.,1,4,1,0,0,0,1,0,192,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,0,2,0,0,0,0,1,0,93,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,others,0,1,0,0,0,0,1,0,128,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,others,0,2,0,1,1,0,1,0,107,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,admin.,1,1,0,0,0,0,1,0,303,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
28,others,0,2,0,1,0,0,1,0,81,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,0,1,0,0,0,0,1,0,270,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,0,2,0,0,0,0,1,0,228,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,others,0,1,1,1,0,0,1,0,240,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,0,1,1,0,1,0,673,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,1
36,admin.,0,4,0,1,0,0,1,0,233,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,0,1,1,0,0,0,1,0,102,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,others,0,4,0,0,0,0,1,0,461,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,1,1,0,0,0,1,0,250,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,retired,0,2,1,0,0,0,1,0,130,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,others,0,1,1,0,0,0,1,0,252,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,admin.,0,4,0,1,0,0,1,0,138,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,3,0,0,0,0,1,0,412,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,others,1,1,0,1,0,0,1,0,179,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,4,0,0,0,0,1,0,19,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,4,0,0,0,0,1,0,228,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,1,1,1,1,0,0,1,0,55,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
48,others,0,1,0,1,0,0,1,0,717,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,admin.,0,2,1,1,0,0,1,0,313,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,1,1,1,0,0,0,1,0,289,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,admin.,0,1,1,1,0,0,1,0,683,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,0,1,0,1,0,0,1,0,1077,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,others,0,2,0,0,0,0,1,0,146,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
32,others,1,1,0,0,0,0,1,0,167,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,2,0,1,0,0,1,0,356,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,admin.,0,0,0,0,0,0,1,0,277,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,others,0,1,0,1,0,0,1,0,172,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,student,1,4,1,0,0,0,1,0,218,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,student,1,4,1,1,1,0,1,0,217,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,others,0,3,0,0,0,0,1,0,67,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,1,1,0,0,0,0,1,0,291,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,student,1,4,1,1,0,0,1,0,248,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,student,1,1,0,1,0,0,1,0,256,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,4,0,0,0,0,1,0,286,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,admin.,0,4,0,0,0,0,1,0,477,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,retired,0,0,1,0,0,0,1,0,611,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,3,1,1,0,0,1,0,471,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,1,1,1,0,0,1,0,381,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
30,others,1,0,0,1,0,0,1,0,251,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
30,others,1,0,0,1,1,0,1,0,408,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,others,0,1,1,0,0,0,1,0,287,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,2,0,0,0,0,1,0,322,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,0,2,0,1,0,0,1,0,216,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,0,0,1,0,0,0,1,0,366,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,1,1,1,1,0,0,1,0,210,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,others,0,1,1,1,0,0,1,0,288,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,1,0,0,0,0,1,0,168,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
58,retired,0,4,0,0,0,0,1,0,132,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,4,0,0,0,0,1,0,64,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,1,4,0,0,0,0,1,0,209,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,retired,0,1,1,0,0,0,1,0,410,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,1,0,1,1,0,1,0,177,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,admin.,0,3,0,1,0,0,1,0,580,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,others,0,3,0,1,0,0,1,0,165,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
32,others,0,1,1,1,0,0,1,0,127,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,admin.,0,2,1,0,0,0,1,0,357,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,others,0,4,1,0,0,0,1,0,175,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,admin.,0,3,0,1,0,0,1,0,300,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,1,0,0,0,0,1,0,136,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
48,admin.,0,2,0,0,0,0,1,0,125,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,others,0,2,1,0,1,0,1,0,189,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
43,others,0,4,1,0,1,0,1,0,213,3,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,retired,0,2,0,0,0,0,1,0,238,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,1,3,0,0,0,0,1,0,124,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,0,4,0,1,0,0,1,0,18,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,1,1,0,0,0,0,1,0,730,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
30,others,0,4,1,0,0,0,1,0,40,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,others,0,0,0,0,0,0,1,0,181,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
32,others,1,3,0,0,0,0,1,0,79,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,1,2,0,1,0,0,1,0,142,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,others,1,2,0,0,1,0,1,0,389,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,others,1,2,0,0,0,0,1,0,702,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,3,0,0,0,0,1,0,151,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,1,0,1,0,0,1,0,211,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,1,0,1,0,0,1,0,117,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
